"CNAE,""Descrição"",""Observação"",""RiscoFixo"",""Perguntas"""
"0892-4/03,""Refino e outros tratamentos do sal"","""",""3"","""""
"1032-5/01,""Fabricação de conservas de palmito"","""",""3"","""""
"1041-4/00,""Fabricação de óleos vegetais em bruto, exceto óleo de milho"","""",""3"","""""
"1042-2/00,""Fabricação de óleos vegetais refinados, exceto óleo de milho"","""",""3"","""""
"1062-7/00,""Moagem de trigo e fabricação de derivados"","""",""3"","""""
"1065-1/02,""Fabricação de óleo de milho em bruto"","""",""3"","""""
"1065-1/03,""Fabricação de óleo de milho refinado"","""",""3"","""""
"1072-4/01,""Fabricação de açúcar de cana refinado"","""",""3"","""""
"1121-6/00,""Fabricação de águas envasadas"","""",""3"","""""
"1122-4/04,""Fabricação de bebidas isotônicas"","""",""3"","""""
"1033-3/02,""Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"","""",""3"","""""
"1043-1/00,""Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais"","""",""3"","""""
"1072-4/02,""Fabricação de açúcar de cereais (dextrose) e de beterraba"","""",""3"","""""
"1092-9/00,""Fabricação de biscoitos e bolachas"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1093-7/01,""Fabricação de produtos derivados do cacau e de chocolates"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1093-7/02,""Fabricação de frutas cristalizadas, balas e semelhantes"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"8610-1/01,""Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"","""",""3"","""""
"8610-1/02,""Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências"","""",""3"","""""
"8630-5/07,""Atividades de reprodução humana assistida"","""",""3"","""""
"8640-2/03,""Serviços de diálise e nefrologia"","""",""3"","""""
"8640-2/04,""Serviços de tomografia"","""",""3"","""""
"8640-2/06,""Serviços de ressonância magnética"","""",""3"","""""
"8640-2/10,""Serviços de quimioterapia"","""",""3"","""""
"8640-2/11,""Serviços de radioterapia"","""",""3"","""""
"8640-2/12,""Serviços de hemoterapia"","""",""3"","""""
"8640-2/14,""Serviços de bancos de células e tecidos humanos"","""",""3"","""""
"8640-2/99,""Serviços de complementação diagnóstica e terapêutica"","""",""3"","""""
"8650-0/07,""Atividades de terapia de nutrição enteral e parenteral"","""",""3"","""""
"8129-0/00,""Atividades de limpeza não especificadas anteriormente"","""",""3"","""""
"8690-9/02,""Atividades de bancos de leite humano"","""",""3"","""""
"1742-7/01,""Fabricação de fraldas descartáveis"","""",""3"","""""
"1742-7/02,""Fabricação de absorventes higiênicos"","""",""3"","""""
"2052-5/00,""Fabricação de desinfestantes domissanitários"","""",""3"","""""
"2061-4/00,""Fabricação de sabões e detergentes sintéticos"","""",""3"","""""
"2062-2/00,""Fabricação de produtos de limpeza e polimento"","""",""3"","""""
"2063-1/00,""Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"","""",""3"","""""
"2110-6/00,""Fabricação de produtos farmoquímicos"","""",""3"","""""
"2123-8/00,""Fabricação de preparações farmacêuticas"","""",""3"","""""
"2660-4/00,""Fabricação de aparelhos eletromédicos e equipamentos de irradiação"","""",""3"","""""
"3250-7/06,""Serviços de prótese dentária"","""",""3"","""""
"4729-6/01,""Tabacaria"","""",""3"","""""
"4774-1/00,""Comércio varejista de artigos de óptica"","""",""3"","""""
"5222-2/00,""Terminais rodoviários e ferroviários"","""",""3"","""""
"5510-8/01,""Hotéis"","""",""3"","""""
"5510-8/02,""Apart-hotéis"","""",""3"","""""
"5510-8/03,""Motéis"","""",""3"","""""
"5590-6/01,""Albergues, exceto assistenciais"","""",""3"","""""
"5590-6/02,""Campings"","""",""3"","""""
"5590-6/03,""Pensões (alojamento)"","""",""3"","""""
"5590-6/99,""Outros alojamentos não especificados anteriormente"","""",""3"","""""
"8121-4/00,""Limpeza em prédios e em domicílios"","""",""3"","""""
"8122-2/00,""Imunização e controle de pragas urbanas"","""",""3"","""""
"8511-2/00,""Educação infantil - creche"","""",""3"","""""
"8512-1/00,""Educação infantil - pré-escola"","""",""3"","""""
"8513-9/00,""Ensino fundamental"","""",""3"","""""
"8520-1/00,""Ensino médio"","""",""3"","""""
"8531-7/00,""Educação superior - graduação"","""",""3"","""""
"8532-5/00,""Educação superior - graduação e pós-graduação"","""",""3"","""""
"8533-3/00,""Educação superior - pós-graduação e extensão"","""",""3"","""""
"8541-4/00,""Educação profissional de nível técnico"","""",""3"","""""
"8542-2/00,""Educação profissional de nível tecnológico"","""",""3"","""""
"8591-1/00,""Ensino de esportes"","""",""3"","""""
"8711-5/02,""Instituições de longa permanência para idosos"","""",""3"","""""
"8711-5/05,""Condomínios residenciais para idosos"","""",""3"","""""
"8730-1/01,""Orfanatos"","""",""3"","""""
"8730-1/02,""Albergues assistenciais"","""",""3"","""""
"8730-1/99,""Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente"","""",""3"","""""
"8800-6/00,""Serviços de assistência social sem alojamento"","""",""3"","""""
"9312-3/00,""Clubes sociais, esportivos e similares"","""",""3"","""""
"9313-1/00,""Atividades de condicionamento físico"","""",""3"","""""
"9321-2/00,""Parques de diversão e parques temáticos"","""",""3"","""""
"9601-7/01,""Lavanderias"","""",""3"","""""
"9601-7/03,""Toalheiros"","""",""3"","""""
"9602-5/01,""Cabeleireiros, manicure e pedicure"","""",""3"","""""
"9602-5/02,""Atividades de estética e outros serviços de cuidados com a beleza"","""",""3"","""""
"9603-3/01,""Gestão e manutenção de cemitérios"","""",""3"","""""
"9603-3/02,""Serviços de cremação"","""",""3"","""""
"9603-3/03,""Serviços de sepultamento"","""",""3"","""""
"9603-3/04,""Serviços de funerárias"","""",""3"","""""
"9603-3/99,""Atividades funerárias e serviços relacionados não especificados anteriormente"","""",""3"","""""
"9609-2/05,""Atividades de sauna e banhos"","""",""3"","""""
"9609-2/06,""Serviços de tatuagem e colocação de piercing"","""",""3"","""""
"3312-1/03,""Manutenção e reparação de aparelhos eletromédicos e equipamentos de irradiação"","""",""3"","""""
"4771-7/01,""Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"","""",""3"","""""
"4772-5/00,""Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"","""",""3"","""""
"4773-3/00,""Comércio varejista de artigos médicos e ortopédicos"","""",""3"","""""
"4789-0/05,""Comércio varejista de produtos saneantes domissanitários"","""",""3"","""""
"7729-2/03,""Aluguel de material médico"","""",""3"","""""
"7739-0/02,""Aluguel de equipamentos científicos, médicos e hospitalares, sem operador"","""",""3"","""""
"4729-6/02,""Comércio varejista de mercadorias em lojas de conveniência"","""",""3"","""""
"4789-0/99,""Comércio varejista de outros produtos não especificados anteriormente"","""",""3"","""""
"5310-5/01,""Atividades do Correio Nacional"","""",""3"","""""
"5310-5/02,""Atividades de franqueadas e permissionárias do Correio Nacional"","""",""3"","""""
"5320-2/01,""Serviços de malote não realizados pelo Correio Nacional"","""",""3"","""""
"5320-2/02,""Serviços de entrega rápida"","""",""3"","""""
"1731-1/00,""Fabricação de embalagens de papel"","""",""1"","""""
"1732-0/00,""Fabricação de embalagens de cartolina e papel-cartão"","""",""1"","""""
"1733-8/00,""Fabricação de chapas e de embalagens de papelão ondulado"","""",""1"","""""
"2019-3/99,""Fabricação de outros produtos químicos inorgânicos não especificados anteriormente"","""",""1"","""""
"2029-1/00,""Fabricação de produtos químicos orgânicos não especificados anteriormente"","""",""1"","""""
"2071-1/00,""Fabricação de tintas, vernizes, esmaltes e lacas"","""",""1"","""""
"2091-6/00,""Fabricação de adesivos e selantes"","""",""1"","""""
"2093-2/00,""Fabricação de aditivos de uso industrial"","""",""1"","""""
"2219-6/00,""Fabricação de artefatos de borracha não especificados anteriormente"","""",""1"","""""
"2222-6/00,""Fabricação de embalagens de material plástico"","""",""1"","""""
"2312-5/00,""Fabricação de embalagens de vidro"","""",""1"","""""
"2591-8/00,""Fabricação de embalagens metálicas"",""Nível de Risco III"",""3"","""""
"2829-1/99,""Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios"","""",""1"","""""
"7210-0/00,""Pesquisa e desenvolvimento experimental em ciências físicas e naturais"","""",""1"","""""
"1031-7/00,""Fabricação de conservas de frutas"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção de conservas de frutas é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":null}]}, {""""id"""":""""q2"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":2},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/99,""Fabricação de outros produtos alimentícios não especificados anteriormente"",""Se a produção for artesanal e/ou dispensado de registro sanitário."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":null}]}, {""""id"""":""""q2"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":2},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1063-5/00,""Fabricação de farinha de mandioca e derivados"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1064-3/00,""Fabricação de farinha de milho e derivados, exceto óleos de milho"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1065-1/01,""Fabricação de amidos e féculas de vegetais"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1069-4/00,""Moagem e fabricação de produtos de origem vegetal não especificados anteriormente"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1071-6/00,""Fabricação de açúcar em bruto"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1061-9/01,""Beneficiamento de arroz"",""Informe se o beneficiamento é artesanal ou industrial."","""",""[{""""id"""":""""q1"""",""""text"""":""""O beneficiamento de arroz é realizado por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1061-9/02,""Fabricação de produtos do arroz"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1081-3/02,""Torrefação e moagem de café"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1082-1/00,""Fabricação de produtos à base de café"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1091-1/01,""Fabricação de produtos de panificação industrial"",""Conforme critérios: se a produção for artesanal ou industrial."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1094-5/00,""Fabricação de massas alimentícias"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1095-3/00,""Fabricação de especiarias, molhos, temperos e condimentos"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1096-1/00,""Fabricação de alimentos e pratos prontos"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/05,""Fabricação de produtos para infusão (chá, mate, etc.)"",""Se a produção for artesanal."","""",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1053-8/00,""Fabricação de sorvetes e outros gelados comestíveis"",""Se microempresa conforme os critérios da Resolução 222/2006 ANVISA."","""",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/02,""Fabricação de pós alimentícios"",""Se microempresa conforme os critérios da Resolução 222/2006 ANVISA."","""",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/03,""Fabricação de fermentos e leveduras"",""Se microempresa conforme os critérios da Resolução 222/2006 ANVISA."","""",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/06,""Fabricação de adoçantes naturais e artificiais"",""Se microempresa conforme os critérios da Resolução 222/2006 ANVISA."","""",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1099-6/07,""Fabricação de alimentos dietéticos e complementos alimentares"",""Se microempresa conforme os critérios da Resolução 222/2006 ANVISA."","""",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é micro, pequena ou média empresa?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"0892-4/03,""Refino e outros tratamentos do sal"","""",""3"","""""
"1032-5/01,""Fabricação de conservas de palmito"","""",""3"","""""
"1041-4/00,""Fabricação de óleos vegetais em bruto, exceto óleo de milho"","""",""3"","""""
"1042-2/00,""Fabricação de óleos vegetais refinados, exceto óleo de milho"","""",""3"","""""
"1062-7/00,""Moagem de trigo e fabricação de derivados"","""",""3"","""""
"1065-1/02,""Fabricação de óleo de milho em bruto"","""",""3"","""""
"1065-1/03,""Fabricação de óleo de milho refinado"","""",""3"","""""
"1072-4/01,""Fabricação de açúcar de cana refinado"","""",""3"","""""
"1072-4/02,""Fabricação de açúcar de cereais (dextrose) e de beterraba"","""",""3"","""""
"1121-6/00,""Fabricação de águas envasadas"","""",""3"","""""
"1122-4/04,""Fabricação de bebidas isotônicas"","""",""3"","""""
"1033-3/02,""Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"","""",""3"","""""
"1043-1/00,""Fabricação de margarina e outras gorduras vegetais"","""",""3"","""""
"1092-9/00,""Fabricação de biscoitos e bolachas"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1093-7/01,""Fabricação de produtos derivados do cacau e de chocolates"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1093-7/02,""Fabricação de frutas cristalizadas, balas e semelhantes"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""A produção é realizada por métodos artesanais?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":1},{""""value"""":""""NÃO"""",""""risk"""":3}]}]"""
"1122-4/99,""Fabricação de outras bebidas não-alcoólicas"",""Se fabricante de grande porte"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""O estabelecimento é de grande porte?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":3},{""""value"""":""""NÃO"""",""""risk"""":1}]}]"""
"8610-1/01,""Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências"","""",""3"","""""
"8610-1/02,""Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências"","""",""3"","""""
"8630-5/07,""Atividades de reprodução humana assistida"","""",""3"","""""
"7120-1/00,""Testes e análises técnicas"",""Se laboratório de análises clínicas"","""",""[{""""id"""":""""q1"""",""""text"""":""""O laboratório realiza ensaios clínicos?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":3},{""""value"""":""""NÃO"""",""""risk"""":2}]}]"""
"8640-2/02,""Laboratórios clínicos"",""Se laboratório de biologia molecular"","""",""[{""""id"""":""""q1"""",""""text"""":""""O laboratório realiza ensaios clínicos?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":3},{""""value"""":""""NÃO"""",""""risk"""":2}]}]"""
"8640-2/03,""Serviços de diálise e nefrologia"","""",""3"","""""
"8640-2/04,""Serviços de tomografia"","""",""3"","""""
"8640-2/06,""Serviços de ressonância magnética"","""",""3"","""""
"8640-2/10,""Serviços de quimioterapia"","""",""3"","""""
"8640-2/11,""Serviços de radioterapia"","""",""3"","""""
"8640-2/12,""Serviços de hemoterapia"","""",""3"","""""
"8640-2/14,""Serviços de bancos de células e tecidos humanos"","""",""3"","""""
"8640-2/99,""Serviços de complementação diagnóstica e terapêutica"","""",""3"","""""
"8650-0/07,""Atividades de terapia de nutrição enteral e parenteral"","""",""3"","""""
"8129-0/00,""Atividades de limpeza não especificadas anteriormente"","""",""3"",""[{""""id"""":""""q1"""",""""text"""":""""As atividades de limpeza não especificadas se aplicam ao estabelecimento?"""",""""options"""":[{""""value"""":""""SIM"""",""""risk"""":3},{""""value"""":""""NÃO"""",""""risk"""":1}]}]"""
"8690-9/02,""Atividades de bancos de leite humano"","""",""3"","""""
"1742-7/01,""Fabricação de fraldas descartáveis"","""",""3"","""""
"1742-7/02,""Fabricação de absorventes higiênicos"","""",""3"","""""
"2052-5/00,""Fabricação de desinfestantes domissanitários"","""",""3"","""""
"2061-4/00,""Fabricação de sabões e detergentes sintéticos"","""",""3"","""""
"2062-2/00,""Fabricação de produtos de limpeza e polimento"","""",""3"","""""
"2063-1/00,""Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"","""",""3"","""""
"2110-6/00,""Fabricação de produtos farmoquímicos"","""",""3"","""""
"2123-8/00,""Fabricação de preparações farmacêuticas"","""",""3"","""""
"2660-4/00,""Fabricação de aparelhos eletromédicos e equipamentos de irradiação"","""",""3"","""""
"3250-7/06,""Serviços de prótese dentária"","""",""3"","""""
"4729-6/01,""Tabacaria"","""",""3"","""""
"4774-1/00,""Comércio varejista de artigos de óptica"","""",""3"","""""
"5222-2/00,""Terminais rodoviários e ferroviários"","""",""3"","""""
"5510-8/01,""Hotéis"","""",""3"","""""
"5510-8/02,""Apart-hotéis"","""",""3"","""""
"5510-8/03,""Motéis"","""",""3"","""""
"5590-6/01,""Albergues, exceto assistenciais"","""",""3"","""""
"5590-6/02,""Campings"","""",""3"","""""
"5590-6/03,""Pensões (alojamento)"","""",""3"","""""
"5590-6/99,""Outros alojamentos não especificados anteriormente"","""",""3"","""""
"8121-4/00,""Limpeza em prédios e em domicílios"","""",""3"","""""
"8122-2/00,""Imunização e controle de pragas urbanas"","""",""3"","""""
"8511-2/00,""Educação infantil - creche"","""",""3"","""""
"8512-1/00,""Educação infantil - pré-escola"","""",""3"","""""
"8513-9/00,""Ensino fundamental"","""",""3"","""""
"8520-1/00,""Ensino médio"","""",""3"","""""
"8531-7/00,""Educação superior - graduação"","""",""3"","""""
"8532-5/00,""Educação superior - graduação e pós-graduação"","""",""3"","""""
"8533-3/00,""Educação superior - pós-graduação e extensão"","""",""3"","""""
"8541-4/00,""Educação profissional de nível técnico"","""",""3"","""""
"8542-2/00,""Educação profissional de nível tecnológico"","""",""3"","""""
"8591-1/00,""Ensino de esportes"","""",""3"","""""
"8711-5/02,""Instituições de longa permanência para idosos"","""",""3"","""""
"8711-5/05,""Condomínios residenciais para idosos"","""",""3"","""""
"8730-1/01,""Orfanatos"","""",""3"","""""
"8730-1/02,""Albergues assistenciais"","""",""3"","""""
"8730-1/99,""Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente"","""",""3"","""""
"8800-6/00,""Serviços de assistência social sem alojamento"","""",""3"","""""
"9312-3/00,""Clubes sociais, esportivos e similares"","""",""3"","""""
"9313-1/00,""Atividades de condicionamento físico"","""",""3"","""""
"9321-2/00,""Parques de diversão e parques temáticos"","""",""3"","""""
"9601-7/01,""Lavanderias"","""",""3"","""""
"9601-7/03,""Toalheiros"","""",""3"","""""
"9602-5/01,""Cabeleireiros, manicure e pedicure"","""",""3"","""""
"9602-5/02,""Atividades de estética e outros serviços de cuidados com a beleza"","""",""3"","""""
"9603-3/01,""Gestão e manutenção de cemitérios"","""",""3"","""""
"9603-3/02,""Serviços de cremação"","""",""3"","""""
"9603-3/03,""Serviços de sepultamento"","""",""3"","""""
"9603-3/04,""Serviços de funerárias"","""",""3"","""""
"9603-3/99,""Atividades funerárias e serviços relacionados não especificados anteriormente"","""",""3"","""""
"9609-2/05,""Atividades de sauna e banhos"","""",""3"","""""
"9609-2/06,""Serviços de tatuagem e colocação de piercing"","""",""3"","""""
"3312-1/03,""Manutenção e reparação de aparelhos eletromédicos e equipamentos de irradiação"","""",""3"","""""
"4771-7/01,""Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas"","""",""3"","""""
"4772-5/00,""Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"","""",""3"","""""
"4773-3/00,""Comércio varejista de artigos médicos e ortopédicos"","""",""3"","""""
"4789-0/05,""Comércio varejista de produtos saneantes domissanitários"","""",""3"","""""
"7729-2/03,""Aluguel de material médico"","""",""3"","""""
"7739-0/02,""Aluguel de equipamentos científicos, médicos e hospitalares, sem operador"","""",""3"","""""
"4729-6/02,""Comércio varejista de mercadorias em lojas de conveniência"","""",""3"","""""
"4789-0/99,""Comércio varejista de outros produtos não especificados anteriormente"","""",""3"","""""
"5310-5/01,""Atividades do Correio Nacional"","""",""3"","""""
"5310-5/02,""Atividades de franqueadas e permissionárias do Correio Nacional"","""",""3"","""""
"5320-2/01,""Serviços de malote não realizados pelo Correio Nacional"","""",""3"","""""
"5320-2/02,""Serviços de entrega rápida"","""",""3"","""""
"1731-1/00,""Fabricação de embalagens de papel"","""",""1"","""""
"1732-0/00,""Fabricação de embalagens de cartolina e papel-cartão"","""",""1"","""""
"1733-8/00,""Fabricação de chapas e de embalagens de papelão ondulado"","""",""1"","""""
"2019-3/99,""Fabricação de outros produtos químicos inorgânicos não especificados anteriormente"","""",""1"","""""
"2029-1/00,""Fabricação de produtos químicos orgânicos não especificados anteriormente"","""",""1"","""""
"2071-1/00,""Fabricação de tintas, vernizes, esmaltes e lacas"","""",""1"","""""
"2091-6/00,""Fabricação de adesivos e selantes"","""",""1"","""""
"2093-2/00,""Fabricação de aditivos de uso industrial"","""",""1"","""""
"2219-6/00,""Fabricação de artefatos de borracha não especificados anteriormente"","""",""1"","""""
"2222-6/00,""Fabricação de embalagens de material plástico"","""",""1"","""""
"2312-5/00,""Fabricação de embalagens de vidro"","""",""1"","""""
"2591-8/00,""Fabricação de embalagens metálicas"",""Nível de Risco III"",""3"","""""
"2829-1/99,""Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios"","""",""1"","""""
"7210-0/00,""Pesquisa e desenvolvimento experimental em ciências físicas e naturais"","""",""1"","""""